,D,Ms,DMI,Sk
373,240.0,750.0,3.0,0.10252353883439738
374,240.0,800.0,3.0,0.8842795179361782
375,240.0,850.0,3.0,0.8845167030637674
376,240.0,900.0,3.0,0.8674027088057273
377,240.0,950.0,3.0,0.8358557708298618
378,240.0,1000.0,3.0,0.8190869588577745
379,240.0,1050.0,3.0,0.8030997098550219
380,320.0,600.0,3.0,0.8331927572552507
381,320.0,650.0,3.0,0.8324520214609112
382,320.0,700.0,3.0,0.1375735801076756
383,320.0,750.0,3.0,0.8555873259824079
384,320.0,800.0,3.0,0.8422343732156198
385,320.0,850.0,3.0,2.124240303206863
386,320.0,900.0,3.0,0.13975397784335764
387,320.0,950.0,3.0,0.15516084511312167
388,320.0,1000.0,3.0,-1.013811824492709
389,320.0,1050.0,3.0,0.7444987370924514
390,400.0,600.0,3.0,0.817803401880147
391,400.0,650.0,3.0,0.852823208905075
392,400.0,700.0,3.0,0.20173522993862786
393,400.0,750.0,3.0,0.8156258358495286
394,400.0,800.0,3.0,3.7906795676692555
395,400.0,850.0,3.0,0.15067742702784637
396,400.0,900.0,3.0,0.139458965023508
397,400.0,950.0,3.0,0.22732343794540935
398,400.0,1000.0,3.0,0.2222421020528223
399,400.0,1050.0,3.0,-1.848717927504141
400,480.0,600.0,3.0,0.8196735449885315
401,480.0,650.0,3.0,0.7941160575605511
402,480.0,700.0,3.0,0.23552752644706335
403,480.0,750.0,3.0,0.7855987435343549
404,480.0,800.0,3.0,4.814059468416685
405,480.0,850.0,3.0,0.14881752698553716
406,480.0,900.0,3.0,-5.1682145671703905
407,480.0,950.0,3.0,0.26294588656619744
408,480.0,1000.0,3.0,0.2421820071400816
409,480.0,1050.0,3.0,-1.5227660370295948
410,560.0,600.0,3.0,0.803565097343321
411,560.0,650.0,3.0,0.7517138350444958
412,560.0,700.0,3.0,0.2916538620718464
413,560.0,750.0,3.0,0.770288907895465
414,560.0,800.0,3.0,2.0619262703766252
415,560.0,850.0,3.0,0.1400743597684267
416,560.0,900.0,3.0,1.6582630941569378
417,560.0,950.0,3.0,-1.9954276879297848
418,560.0,1000.0,3.0,0.3111126182946629
419,560.0,1050.0,3.0,-3.534467879195222
420,640.0,600.0,3.0,0.82864152115877
421,640.0,650.0,3.0,0.7360434476872197
422,640.0,700.0,3.0,0.30498533760147073
423,640.0,750.0,3.0,0.7603375294557807
424,640.0,800.0,3.0,4.010669998518281
425,640.0,850.0,3.0,-0.8912265579159135
426,640.0,900.0,3.0,0.18216748814393774
427,640.0,950.0,3.0,0.6645289897041501
428,640.0,1000.0,3.0,-0.29382522662924143
429,640.0,1050.0,3.0,-7.363935722896072
430,720.0,600.0,3.0,0.7403639134894393
431,720.0,650.0,3.0,0.7097626350773995
432,720.0,700.0,3.0,0.4062453683365663
433,720.0,750.0,3.0,3.381886929441699
434,720.0,800.0,3.0,1.0553152431505202
435,720.0,850.0,3.0,-2.8015118521755182
436,720.0,900.0,3.0,1.809683621901608
437,720.0,950.0,3.0,0.616647188793127
438,720.0,1000.0,3.0,-0.626163558052725
439,720.0,1050.0,3.0,-5.420746323517182
440,800.0,600.0,3.0,0.7811174392405137
441,800.0,650.0,3.0,0.7239161023926495
442,800.0,700.0,3.0,0.45695987817301237
443,800.0,750.0,3.0,3.2986483428497566
444,800.0,800.0,3.0,2.303912649748497
445,800.0,850.0,3.0,-1.810087215887403
446,800.0,900.0,3.0,7.771951170424868
447,800.0,950.0,3.0,0.4238364699866458
448,800.0,1000.0,3.0,-1.7617159205042723
449,800.0,1050.0,3.0,-5.840822900361664
