# t (s)	mx ()	my ()	mz ()	maxTorque (T)
1.1900000000010607e-09	-9.706609e-10	-2.4266522e-09	0.0002650018	0.0011161519
1.2000000000011465e-09	2.0626543e-09	-1.1526597e-09	0.00026479314	0.0010721121
1.2100000000012322e-09	2.6693174e-09	-1.0919935e-09	0.000264657	0.0010227865
1.220000000001318e-09	2.5783178e-10	7.2799566e-10	0.00026444832	0.0009788633
1.2300000000014038e-09	-7.2799566e-10	2.6693174e-09	0.00026426362	0.0009356044
1.2400000000014896e-09	-1.2133261e-10	1.2133261e-10	0.0002640639	0.0008930292
1.2500000000015754e-09	6.6732936e-10	-3.397313e-09	0.00026393603	0.0008515296
1.2600000000016612e-09	-3.6399783e-10	1.6986565e-09	0.0002638152	0.00081616687
1.270000000001747e-09	3.2153142e-09	-1.501491e-09	0.00026365794	0.00078139437
1.2800000000018327e-09	2.9119827e-09	1.3194922e-09	0.00026357276	0.000743097
1.2900000000019185e-09	3.0939815e-09	3.2759804e-09	0.0002634546	0.0007136435
1.3000000000020043e-09	1.8199892e-10	6.0666305e-10	0.00026329857	0.00067932997
1.3100000000020901e-09	3.6399783e-10	1.9413218e-09	0.00026313865	0.00065205275
1.3200000000021759e-09	1.0009941e-09	8.493283e-10	0.00026298576	0.00062222354
1.3300000000022617e-09	1.2739924e-09	1.5773239e-09	0.00026296102	0.00059392664
1.3400000000023475e-09	1.2133261e-09	2.5479847e-09	0.0002629428	0.0005695466
1.3500000000024332e-09	1.9413218e-09	1.3346587e-09	0.00026279187	0.00054195104
1.360000000002519e-09	2.4266522e-09	9.706609e-10	0.00026266303	0.00051886146
1.3700000000026048e-09	-4.8533044e-10	1.395325e-09	0.00026256038	0.0004929873
1.3800000000026906e-09	0	2.4266522e-09	0.00026245747	0.0004734196
1.3900000000027764e-09	-1.2133261e-09	-3.6399783e-10	0.0002624036	0.00045219765
1.4000000000028622e-09	4.2466414e-10	-2.4266522e-09	0.00026238445	0.0004329528
1.410000000002948e-09	-2.4266522e-10	-1.0919935e-09	0.0002622978	0.00041583308
1.4200000000030337e-09	-1.8199892e-09	1.6986565e-09	0.00026221553	0.00039902306
1.4300000000031195e-09	-6.0666305e-11	3.8826435e-09	0.0002621311	0.000377939
1.4400000000032053e-09	1.8806554e-09	-4.8533044e-10	0.00026205904	0.00036287517
1.450000000003291e-09	4.2466414e-10	0	0.00026198453	0.00034546404
1.4600000000033769e-09	2.2749864e-09	-6.0666305e-10	0.0002619707	0.00032917396
1.4700000000034627e-09	1.395325e-09	2.4266522e-10	0.0002619047	0.00031426214
1.4800000000035485e-09	2.6693174e-09	4.8533044e-10	0.00026181102	0.0003001805
1.4900000000036342e-09	1.7593228e-09	9.706609e-10	0.00026179597	0.0002874971
1.50000000000372e-09	1.2133261e-10	-1.2133261e-09	0.00026175327	0.00027800718
1.5100000000038058e-09	6.0666305e-11	-6.0666305e-10	0.00026168482	0.00026359293
1.5200000000038916e-09	5.4599675e-10	1.0919935e-09	0.0002616004	0.0002547147
1.5300000000039774e-09	1.0313271e-09	2.4266522e-10	0.00026158098	0.00024054687
1.5400000000040632e-09	4.8533044e-10	1.6986565e-09	0.0002615868	0.00023024251
1.550000000004149e-09	5.4599675e-10	2.183987e-09	0.00026156544	0.00022148296
1.5600000000042347e-09	-9.706609e-10	1.8199892e-09	0.000261514	0.00021183866
